"firstHeading","books","tianfu","tianfu_2star","tianfu_4star","description","user_desc","user_cat"
"武鸣月","天工开物  道德经","武舞","在锦绣饰坊工作时，首饰产量增加5%在锦绣饰坊工作时，首饰产量增加7%在锦绣饰坊工作时，首饰产量增加10%","在锦绣饰坊工作时，首饰产量增加15%","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
武鸣月为了练习武舞,吃了许多苦头。这苦头有些源自练功的艰辛，有些源自亲朋的嘲讽。两者他都不甚畏惧。面对好事之人，他甚少分辨，只淡淡一笑:「我的热爱，不惧任何嘲笑。我便是为了舞蹈而生。」从此，他练习得更加刻苦了。为了克服胆怯，他常常在马球场上跟随令风来的鼓点翩翩起舞，为公孙跃呐喊助威。后来皇帝亲编《秦王破阵乐》，需要得力舞者，令风来便举荐了这位知心倾心的好友。江南盛宴上,鼓令乐响,舞随歌起。一曲武舞，他跳得明月清辉,舞得将士神勇。他站在舞台上，便象征着风调雨顺,时和岁稔。
","武舞练三九 鸣鼓舞急步 月辉洒舞袍 盛世太平舞","侯级角色"
"千暮雪","三国志  全萍梅","问情","负责2小时以上的制作工作时，每有一个女性工人，可额外获得1个兵器。负责2小时以上的制作工作时，每有一个女性工人，可额外获得2个兵器。负责2小时以上的制作工作时，每有一个女性工人，可额外获得3个兵器。","负责2小时以上的制作工作时，每有一个女性工人，可额外获得4个兵器。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
千暮雪护镖至边关时，与万千山重逢了。二十年不见，两人容颜改变，相知相许的心却没变。他们一刻也不曾停下相思。千暮雪便留了下来，加入白杆兵，与万千山策马驰骋，共量大明边境。他们守过寒冬，迎来春天。铠甲作喜服，战马为喜轿。雪花和梅花落在千暮雪的头盔上，便成了她的红盖头。千暮雪和万千山一拜山河，二拜同袍，三拜故乡，拜完堂便领兵迎战了。士兵们斗志昂扬，以大获全胜作为贺礼。凯旋后，秦良玉修书一封送至皇宫，请求万千山以诰命夫人之子的规格正式迎娶千暮雪。天子恩准，万民同贺。「岂曰无衣？与子同袍。」
","君应有语 渺万里层云 千山暮雪 只影向谁去","侯级角色"
"顾半城","三国志  全萍梅","商贾","在商行负责补货工作时，消耗货物减少5，并立即完成5%的进度。在商行负责补货工作时，消耗货物减少6，并立即完成10%的进度。在商行负责补货工作时，消耗货物减少7，并立即完成15%的进度。","在商行负责补货工作时，消耗货物减少8，并立即完成20%的进度。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
珠宝商人顾半城有一间秘密的珍宝阁，他像守护洞穴的穿山甲一样守着自己的宝贝。据说，顾半城检查一遍藏品要花一个月，没人能说清他究竟藏了多少宝贝。守财如斯，只有顾半城自己知道这样做的原因：顾半城早年丧妻，独自将女儿小九养大。十几年前，顾半城在江南做珠宝生意。像往常一样，顾半城趁夜起来点灯查账，谁知他一时犯困，引发了一场火灾。那场火在小九脸上留下了一个疤痕，也在顾半城心中留下了永远的隐痛。顾半城当即决定，搬家去京城，找最好的大夫给小九医治。小九长大后，独自回江南开了一家机关玩具铺。顾半城不放心自己的掌上明珠，自然也偷偷跟了来。「人人都说我爱财，但世上哪有比我女儿更珍贵的宝贝啊。」顾半城看着满满一屋子的珍宝自言自语道，「等我不在了，至少还有这一屋珠宝能护她周全。」
","财可敌半城 戚戚守宝盆 掌上托明珠 有女万事成","侯级角色"
"盛羽林","论语  西游记","济困","负责1小时以上的建造工作时，立即完成10%的进度，所需菜肴减少8%。负责1小时以上的建造工作时，立即完成15%的进度，所需菜肴减少12%。负责1小时以上的建造工作时，立即完成20%的进度，所需菜肴减少16%。","负责1小时以上的建造工作时，立即完成25%的进度，所需菜肴减少20%。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
盛羽林不记得这是第几次站上比武招亲的擂台了。从王扶危摆擂第一天起，他就提着少林棍在挑战了，屡战屡败，屡败屡战。看热闹的人一开始喝着倒彩笑话他，渐渐地，被他那股斗志打动，纷纷为他呐喊助威。「不愧是隔壁家的孩子。」又一次败下阵来的盛羽林感叹道，「怪不得我爹从小就拿你教育我。」这是盛羽林第一次开口说话，王扶危有些好奇：「你不是来比武招亲的？」「啊，我是来切磋的。有朝一日，我一定会战胜你！」盛羽林费劲地从地上站起来，拍拍身上的灰尘。王扶危放下心来，语气也亲切了几分：「这擂台以后就别来了，比武招亲是我糊弄爹的幌子。」「那我以后上哪儿找你切磋啊？」王扶危上上下下打量了他一番，正色道：「我问你，你学武是为了什么？」盛羽林把少林棍往地上一顿，掷地有声道：「除暴安良，惩恶扬善！」王扶危赞许地点点头：「我推荐你去戚家军如何？王如一是我的表姐，戚继光是我的表姐夫。」「大丈夫当马革裹尸！」从此，江湖少了一位武师，大明多了一员骁将。
","盛名不相争 羽翼海上飞 林间闻异响 骁勇平寇贼","侯级角色"
"柳春莺","天工开物  西游记","英气","外出探险时，采集植物时，体力消耗减少20%。外出探险时，采集植物、矿石时，体力消耗减少20%。外出探险时，采集所有物体时，体力消耗减少20%。","外出探险时，采集所有物体时，体力消耗减少30%。","
介绍
外形特征


性格及经历


 逸事：幸运
柳春莺一直觉得自己是世界上最幸运的人。当其他小姑娘还在父母怀中撒娇哭鼻子时，她已经能在师父的教导下咿呀学唱了。也正因此，她才有机会接触到昆曲，并发自内心热爱它。人生最幸运的事，不就是有疼爱自己的亲人，有喜欢做的事，有能终身为之奋斗的目标么? 能过上如今的生活，柳春莺满心都是感激。将来她打算同师父和师兄们一起，将昆曲唱遍江南的每一个角落。
 逸事：

故事
被带回戏班那年，柳春莺刚满两岁。她只记得那天阿娘给她买了好大一串糖葫芦，她舍不得吃，最后举得手都酸了才依依不舍地吃掉。至于其他的，她一点印象也没有，包括阿娘的样子。她在戏班度过了一个快乐的童年，有师父的疼爱和师兄们的呵护。她性子活泼，幼时没少闯祸，但每次总有师兄们替她受罚。师父会给她扎歪七扭八的小辫子，用别扭的针脚缝花花绿绿的衣裳，还会为她苦学厨艺，最后烧得一手好菜，将她养得白净水灵。戏班就是她的家，旁人问起时她总这么说，语气坚定又骄傲。若说成长路上有什么烦恼，大概便是学戏时师父太过严苛，她为此吃了些苦头吧。那日她路过湖边被丽娘的歌声吸引，两人一见如故，此后便时常相约去僻静处练嗓。丽娘的歌声让她沉醉，但她坚信自己总有一日能成为和丽娘一样厉害的人。枝头雏莺轻啼，江南春色正浓，一切都是最好的样子。
","柳丝摇荡风如线 春雨声声润流年 莺啼百啭彩云偏 未料菱花偷人面","侯级角色"
"夏剪春","天工开物  道德经","无眠","晚上在生产或商业建筑中工作时，立即完成5%的进度。晚上在生产或商业建筑中工作时，立即完成10%的进度。晚上在生产或商业建筑中工作时，立即完成15%的进度。","晚上在生产或商业建筑中工作时，立即完成20%的进度。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
无论走到哪里，夏剪春都随身带着剪刀和彩纸。田间干活时偶遇的野花、屋檐下飞过的鸟儿、树林中奔跑的野兔……她只要瞧过一遍就能剪得活灵活现。
儿时跟着村里老人学剪窗花，她永远是一群孩子中剪得最快最好的那个。长大后成了家，她也总在干活的间隙拿起剪刀，家中那两个大木箱子被他的作品塞得满满当当。起初家里人并不理解，认为他沉迷剪纸会耽误农活，可她宁愿三更起来洗衣，也要留出每日剪纸的时间。
多年过去，她的技艺愈发娴熟，作品也愈发多样，名家书法、山川花卉，甚至身边的邻居们的小像……她无一不剪得形神兼具。闻名而来的达官显贵和名家大师们夸赞她是当世难得的剪纸艺术家，夏剪春一听连连摆手：“我哪懂什么艺术呀，只是喜欢剪纸罢了。大家若是有兴趣，欢迎来找我学啊！”

","夏雷冬雪催惊蛰 剪碎光阴揉成歌 春去窗前花不败 福临门上万家和","侯级角色"
"罗一响","水浒  道德经","夜巡","在商业建筑中工作时，铜钱收入提升60%，且所需工人-1。在商业建筑中工作时，铜钱收入提升80%，且所需工人-1。在商业建筑中工作时，铜钱收入提升100%，且所需工人-2。","在商业建筑中工作时，铜钱收入提升120%，且所需工人-2。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
罗一响原本有份还算不错的差事：拿着小锣和钟馗一起巡夜。天天值夜差的他白天要补觉，但却总被一阵花鼓声吵醒。罗一响前去瞧，只见一个带着鸭子的姑娘正兴高采烈地表演花鼓：「你自个儿又敲锣又打鼓，不忙得慌？」「找不着搭子。」「为啥找不着？」「我唱花鼓，词儿都信手拈来，一般人跟不上我！」「让我试试，成不？」「你会敲锣？」「老本行！」罗一响凭着巡夜练的敲锣本事，与凤扬的花鼓应和。两人一来一回，配合默契。罗一响兴高采烈地敲响第一声锣儿时，就知道自己从此就是凤扬的搭档了。
","锣儿随鼓响 自在人一双 哧咕咙咚呛 闲来度日光","侯级角色"
"杜言游","诗经  史记","解忧","探索新区域时，立即完成10%的进度，且所需工人-1。探索新区域时，立即完成15%的进度，且所需工人-2。探索新区域时，立即完成20%的进度，且所需工人-3。","探索新区域时，立即完成25%的进度，且所需工人-4。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
橹声咿呀，一线弦音划开满湖春晓，乌篷船水上悠悠而过，杜言游端坐船头，怡然自得拉着三弦。岸上有人向他打招呼：「解忧先生，这次又要去哪里呀？」「还没想好，走到哪里，便算哪里吧。」杜言游笑眯眯地答。不知何时，他已习惯了这种随心所欲四海为家的日子，几乎要记不起旧事，也没有人再叫他曾经的名字一一杜言游。杜言游，曾经杜氏一门的才子，族中长辈寄予厚望的存在，却屡试不第，连比他小的堂弟杜言行都已经高中榜眼，他却还是籍籍无名。他一次又一次尝试，好不容易高中榜首，谁知又被卷入一场作弊案中。黜落榜单、十年不得参加科考的官府文书到达时，众口交詈，污水加身，他百辞莫辩，只能默默承受所有的非难与议论。心灰意冷之际，他脱下书香世家的锦衣华服，换上布衣，离开了家门。江南繁盛，民间熙攘，他在其中，像是浩浩江湖中的一滴水。没有人再期待他、议论他、责难他，他不再顶着杜言游这个名字，也无需承受加诸其上的所有东西。他开始思考自己真正想要什么。民间百态，悲欢离合，一幕幕映入眼帘、化入心底，不知何时起，那些功名利禄、毁誉得失都不再困扰于他的心上。终于有一日，他提起笔写下了第一个词本，拿起三弦，拉出了第一声弦音。他将所有的愁思、所有的才情、所有在民间的所见所闻都化入了笔下弦间，江南不久便流传起一个弹词大家的名字一一「解忧生」。「世间多风雨，历历总关情。听我一曲词，解君千般忧。」
","杜宇春山啼翠微 言君何故不肯归 游远不须追往事 一词一曲莫相违","侯级角色"
"荣嘉","论语  史记","精算","负责2小时以上的理财工作时，额外获得1颗名贵珍珠。负责2小时以上的理财工作时，额外获得2颗名贵珍珠。负责1小时以上的理财工作时，额外获得1~2颗名贵珍珠。","负责1小时以上的理财工作时，额外获得2颗名贵珍珠。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
兰心娴接过兰酒酒行做的第一件事便是涨了荣嘉的月俸。荣嘉明白她在留他。酒行老店新开，不少中流砥柱因信不过兰心娴纷纷转投別家，若他这个账房再一走，兰心娴独木难支。荣嘉谢绝了她的好意。兰心娴刚要开口，便听他淡淡道：东家请我，那是信得过我。」兰心娴又惊又喜，对亦兄亦友的他愈发敬重。十年账房先生，十年清白账。荣嘉不怕任何人查账，他记得每一笔明细。他也不怕得罪人，但凡报来的钱数与凭据不符，即使是掌柜，他也会查个明白。荣嘉从仓库抱出一摞账簿，一一摊在桌上：「如今处处都是用钱的地方.先米看看近几年的开支，能省则省吧。」兰心娴点点头，在他的指点下看起了账本。有了荣嘉的倾力相助，酒行生意渐渐好转。兰心娴觉他非等闲之帮，也忧心他困面酒行才华不得展，便主动向文汉需推荐他做管账的师爷。文汉儒亲自来拜访，荣嘉看了看他，又看了看兰心娴，拱手行礼道：「人间信任最难得。」
","荣华似云烟 嘉誉如浮萍 点算收支钱 账本须清明","侯级角色"
"李旋箫","三国志  西游记","曲调","负责理财工作时，立即完成5%的进度，且所需工人-1。负责理财工作时，立即完成10%的进度，且所需工人-1。负责理财工作时，立即完成15%的进度，且所需工人-2。","负责理财工作时，立即完成20%的进度，且所需工人-2。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
李旋箫又站在了鉴湖旁。他侧耳听了一阵，今天的风掠过湖面泛起的涟漪声是羽，经过树梢发出的呼啸声是变徵。「故乡入秋了啊。」李旋箫望着风来的方向喃喃自语，随即又笑了笑，没有双亲的地方又怎么能叫故乡呢？李旋箫生来便是瞽者，因双耳聪敏，在父母的鼓励下自学洞箫，并小有名气。可这种名气多多少少带了些旁人的怜悯。他不愿依靠怜悯与同情过活，便与父母一起四处游历。行至绍兴，却逢江南大火，一家人就此失散……李旋箫摇摇头，不再回忆，然而往昔母亲浣衣时总哼唱的曲调却涌上了心头。他将洞箫抵在下唇、箫声苍凉。如泣如诉。道尽思念。他久久地吹奏着洞箫，却不知，一道身影在他身后伫立了多时。
","李叶满树紫 旋律浮心扉 箫音响鉴湖 声声离人泪","侯级角色"
"邱仲","三国志  西游记","傲骨","在城市中负责建造/升级建筑时，立即完成20%的进度，但所需菜肴花费增加5%。在城市中负责建造/升级建筑时，立即完成25%的进度，但所需菜肴花费增加10%。在城市中负责建造/升级建筑时，立即完成30%的进度，但所需菜肴花费增加15%。","在城市中负责建造/升级建筑时，立即完成40%的进度，但所需菜肴花费增加20%。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
那年，邱仲和时闯在途中相逢，同时出手搭救了一位落水的孩童。两人一见如故，把酒言欢数日。时闯得知邱仲自小习武，又和自己一样想当个游侠，便邀其同赴江南。行至一处小镇时，见有恶霸当街欺辱村民，两人毫不犹豫出手将其救下，又擒住恶霸押送官府。谁知那主审官与恶霸暗中勾连，反斥责时邱二人诬告，二人正要辩驳，却又见方才救下的村民上前替恶霸求情。此事不得已草草了结，时邱二人愤懑难平，欲要再告，被村民们拦了下来：「两位大侠请听我们一言，我们何尝不知你们是一片好心啊，可你们武艺高强自然不怕，我们世代生活于此，就算自己不怕，也不得不顾及家人安危啊。哎，实在对不住啊。」二人听罢长长叹了口气，时闯替村民们买了些伤药，又叮嘱他们躲着那恶霸，勤习武艺强身健体，自己定会想办法将此事上报。邱仲一言未发，第二日一早，他便向时闯辞行。「马上就要到江南了，为何此时离开？」「我要参加武举，我要做官。」「可你我之所以如此投缘，不就是都厌恶那些条条框框的束缚吗？」「我想帮助更多的人，就必须有更大的能力，哪怕是以自由为代价。」时闯笑着拍了拍邱仲的肩：「去吧，我在江南等你。」
","银甲铁弓月如钩 慨携壮志登高楼 不见天子眉头皱 只怀天下百姓忧","侯级角色"
"姜寿","水浒  史记","节哀","在寿材店工作时，铜钱收入提升50%，并随机获得5份资源。在寿材店工作时，铜钱收入提升100%，并随机获得10份资源。在寿材店工作时，铜钱收入提升150%，并随机获得15份资源。","在寿材店工作时，铜钱收入提升200%，并随机获得20份资源。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
「此人一生无为。」「此人嗜睡，愿他长眠。」「卒，诸君勿扰。」阿寿不会说假话，他为逝者写墓志铭从来毫不修饰，常引得治丧之人面面相觑。他还听不得别人虚情假意的哭丧，经常一句「太吵」就将客人打发了。久而久之，阿寿耿直的名声在外，他的「寿长在」寿材店就少有人敢去了。阿寿毫不在意，铺子无人问津，他就整日独自擦拭银烛和手鼓，正好乐得清净。然而，阿寿也是最能辨别真心的人。当阿寿见到真挚的哀悼和泪水时，他会敲起自己的手鼓，为逝者送别，为生者祈福。
","去留不由心 击鼓且歌之 惟愿寿长在 共看人世间","侯级角色"
"窦有禅","诗经  道德经","茶艺","在黏土矿、草药田、茶园工作时，额外获得10份茶叶，且所需工人-1。在黏土矿、草药田、茶园工作时，额外获得15份茶叶，且所需工人-1。在黏土矿、草药田、茶园工作时，额外获得20份茶叶，且所需工人-2。","在黏土矿、草药田、茶园工作时，额外获得25份茶叶，且所需工人-2。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
窦有禅是在终南山认识的卢璨。彼时卢璨上山访兄，两人山间闲逛，累了就站在自己的茶园边闲聊。她觉得兄妹俩谈吐不凡，便邀其到茶屋小坐。卢璨以为她也是隐士，感慨连连：「没想到你小小年纪竟愿舍弃长安的热闹，守着这样一片宁静。」窦有禅摆摆手：「我只是在这里种茶罢了。」她指着桌上的《茶经》和精致的煎茶工具：「我有心琢磨茶艺，严格按照书中记载操作，可味道总不对劲……」她将煎好的茶盛给卢璨，卢璨只饮了一口，便发现了问题所在：「茶即人心。」窦有禅豁然开朗：「茶之所以是茶，是因为倾心其间啊！」从此她不再拘泥典籍记载，专心感受饮茶人和自己的心。人人都道：「饮过窦有禅的茶后，便再也不愿饮其他。」
","有云过终南 禅心即茶心 请君坐石边 茶饮听鸣琴","侯级角色"
"刘玉谨","天工开物  西游记","打磨","在玉器工坊工作时，所需玉石减少10%，并立即完成5%的进度。在玉器工坊工作时，所需玉石减少20%，并立即完成10%的进度。在玉器工坊工作时，所需玉石减少30%，并立即完成15%的进度。","在玉器工坊工作时，所需玉石减少40%，并立即完成20%的进度。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
明月窗前灯下，刘玉谨正将一支玉笛打磨得光华流转，堪堪与月色同辉。谈允贤端着煮好的药汤敲门进来时，正见到她望着打磨好的笛子出神。「窗户开得那么大，风寒已经好了？」「已经差不多了，吃了你这么多汤药，我要是再不好，岂不是要砸了你的招牌？」谈允贤将药碗放在一旁，拿过那支玉笛仔细打量：「做得真好，那些又黑又丑的石头，到了你手上总能脱胎换骨，怪不得那么多人想买你做的玉器呢。」「我从小就与这些石头为伴，熟能生巧嘛。」刘玉谨探头看了一眼那碗药汤，趁谈允贤不注意悄悄往旁边推了推。谈允贤饶有兴致地打量着这间屋子，角落架子上放着各式各样的玉器，人物、鸟兽、花卉……无不精巧绝伦。「我记得你说，你最满意的作品也是一支玉笛，但已经送人了。那是怎样的一支笛子？比起这支如何？」刘玉谨闻言一愣，随后叹了口气：「那时我手艺还不够娴熟，比起你手上这支，做工可差远了，多亏了那人不嫌弃……」提起往事，刘玉谨的神色变得复杂起来，像是甜蜜，又像是唏嘘。她就着月色，给谈允贤讲了一个长长的故事，话语声温柔地消散在晚风中。院子里的几株紫玉兰含苞待放，千里之外，月光酒满某处院落，同样的紫玉兰树下，有人正吹玉笛……
","刘园灯影火初明 玉光流转晚风轻 谨雕幽石琢月色 再将笛上刻君名","侯级角色"
"裴闻镜","天工开物  西游记","张扬","负责1小时以上的制作工作时，立即完成5%的进度，并额外获得20%的产品。负责1小时以上的制作工作时，立即完成10%的进度，并额外获得30%的产品。负责1小时以上的制作工作时，立即完成15%的进度，并额外获得40%的产品。","负责1小时以上的制作工作时，立即完成20%的进度，并额外获得60%的产品。","
介绍
外形特征


性格及经历


 逸事：入山
当裴闻镜得知自己要被送上终南山时，他的内心是平静的。虽然从小调皮捣蛋，可该念的书一本也没落下，「就当是去做隐士了。」他想。入山的第一天，现实就给他狠狠上了一课。在那个空空荡荡的屋子里，他想添置什么就得动手做什么。卢璀说等什么都有了的时候，他就可以把这里称作家了。于是抱着试一试的态度，他开始了属于自己的隐士之路。
 逸事：

故事
当裴闻镜再一次被邻居找上门来时，爱子如命的裴老爷也终于坐不住了：「这妮子再不好好管教是不行了！」他想起自己有个世交在钟南山隐居，便连夜把裴闻镜和一封问候信送了过去。卢璀揉着惺忪的睡眼将裴闻镜领进了屋：「想在哪里睡，就在哪里铺床。」裴闻镜环顾四周，发现这里要什么没什么，便问道：「怎么什么都没有啊？」卢璀伸了个懒腰：「想添什么就自己做。」十指不沾阳春水的裴闻镜犯难了：「一是我不会，二十就算我会，那我得做多少东西啊，床、柜子、油灯……」「慢慢学，慢慢做。屋子就是这样一点一点变得像家得。」卢璀拿起琵琶，自得其乐。裴闻镜叹了口气，决定从铸镜开始——桌上那残破得半面铜镜让他在意极了。他仔细琢磨着铜镜残留得纹样，在纸上反复勾勒图案，如此三四个月后，方才开始制作镜范……后来，爱子如命的裴老爷盼星星盼月亮，望眼欲穿等了一年，终于收到了裴闻镜的家信，信只寥寥几笔，告诉父亲自己打算与卢璀为邻，常住钟南山。随信附上的，还有亲手铸造的铜镜。裴老爷欣喜若狂，当即设宴，邀请亲朋好友欣赏。从此，钟南山住着铸镜大师的传说，便在城里悄然传开
","少时如终南 年年居云隐 铸得青铜鉴 镜光照初心","侯级角色"
"花晚照","天工开物  西游记","似锦","外出探险时，采集植物的体力消耗-10%，并额外获得1个随机花卉。外出探险时，采集植物的体力消耗-20%，并额外获得1个随机花卉。外出探险时，采集植物的体力消耗-30%，并额外获得2个随机花卉。","外出探险时，采集植物的体力消耗-40%，并额外获得2个随机花卉。","
介绍
外形特征


性格及经历


 逸事：种花
花晚照看见花，嘴角便情不自禁上扬。开花时节，她尽情享受着花香。落花时节，她便用尽一切办法将花瓣收好，埋入土中，不叫人们看到它们凋零的凄婉她是那样喜欢花，又是那样渴望花期常在，于是她便自己琢磨起种花来。她渴望让花开得再久一些，尤其是她新培育的金缠腰芍药，也许芍药的花期越长，向斜阳就会越快乐吧。
 逸事：

故事
花晚照每天清晨都会挑着担子到向家送花，那家的公子神情疏离，拒人于千里之外，她以为是他生病的缘故。后来才知是性格使然。可那公子只有在见到她的时候。神情才会稍加松弛。偶展笑颜。她便以为向家夫人请她送花，是为了帮助公子变得开朗。于是，她每天都挑最美的花上门，笑容满面地同他聊天，渐渐地两人便熟悉起来，也知道他的名字唤作向斜阳。「你为什么喜欢花？喜欢是什么感觉？」向斜阳很想弄明白什么是喜欢。「我看见花就情不自禁地微笑，心想要是每天都能和它见面就好了。」花晚照把花篮递给他，「你呢？你有想天天见着谁吗?」向斜阳看了一眼花晚照，踌躇再三，终究什么也没说伸手默默整理着篮子里的花，想让它们错落有致。花晚照却瞪大了眼睛：「你插的花可真漂亮！」向斜阳愣了愣：「你喜欢吗？」「喜欢，当然喜欢！」花晚照盯着花篮目不转睛，「你插的花雅致生动、品味不凡。你要不要把插花作为你喜欢的事，就像我喜欢种花一样？」向斜阳凝视着花晚照眼睛里的光，他突然渴望自己也有这样的光芒，于是点点头：「若我有想要的花，你可以为我摘来吗？」「那是自然！若没有，我一定会替你种出来。向斜阳想起自己昨晚在书上看到的花，便试探地问道：「那金缠腰芍药有吗？」花晚照皱着眉头想了想，倏地一下挑起担子跑远了，只留下一串声音在风中：「我这就回去替你种！」
","花间望斜阳 晚霞映山红 照得芍药眠 金蕊霜露浓","侯级角色"
"曹亦","论语  道德经","谈判","在漕运中负责转运工作时，铜钱收入增加10%，并额外获得1张连票。在漕运中负责转运工作时，铜钱收入增加20%，并额外获得1张连票。在漕运中负责转运工作时，铜钱收入增加30%，并额外获得2张连票。","在漕运中负责转运工作时，铜钱收入增加40%，并额外获得2张连票。","
介绍
外形特征


性格及经历


 逸事：

 逸事：

故事
边陲小镇的驿馆内，传出一阵幽幽的笛声，如泣如诉，引得「一夜征人尽望乡」。小李抱着一摞文献找到使臣曹大人时，见他正沐着月色靠在一株花树下吹笛。五年来，小李听了太多次玉笛声，可今夜的似乎和以往不同，让人听着莫名难过。再走近一些，才发现今夜的曹大人也与以往不同，脸上时从未出现过的落寞神色。一直以来，小李都很佩服眼前这位曹大人，五年前他初入朝堂风光无两，又得当朝丞相青睐，人人皆道他即将成为丞相府的乘龙快婿，从此平步青云不在话下。可他却以早有婚约为由拒绝了这跟橄榄枝，丞相颜面扫地，他在朝中自然也受了些排挤。正当众人慨叹惋惜之际，他又递上一道折子，自请为使臣。这些年，小李跟着他吃了不少苦头，雪山戈壁、险峻丛林，一个地方辗转另一个地方，数万里路，他们就这么一步步走了过来。起初小李还觉得那样的文人气节，在现实的苦难面前总会散为云烟，可五年下来，无论时在异国他乡舌战群儒，抑或是被敌人刀剑加身，他都不曾皱一下眉头。但是今夜，他却露出那样的神色来，大抵是想家了把。小李忽然好奇，让他如此思念的心上人，究竟是个怎样的姑娘。笛声听了下来，曹亦望向小李，神色恢复如常。小李赶紧走上前去，待离得近了，才发现那花树竟是一株盛开的紫玉兰。
","曹园逢春生细柳 亦闻阳关唱三秋 持杖执节行万里 笛音未改乡音旧","侯级角色"
"杜言行","三国志  道德经","及第","负责1小时以上的农牧工作时，立即完成6%的进度，且物品掉落率提升30%。负责1小时以上的农牧工作时，立即完成8%的进度，且物品掉落率提升50%。负责1小时以上的农牧工作时，立即完成10%的进度，且物品掉落率提升70%。","负责1小时以上的农牧工作时，立即完成15%的进度，且物品掉落率提升100%。","
介绍
外形特征


性格及经历


 逸事：第二名
杜言行在学堂做了许久的第一，在家乡做了许久的第一，习惯当第一的他，在科举中屈居第二。他不服也不甘，不明白自己输在了哪里。冷静下来后，他发现自己执着的，并不是第一，而是害怕失去面子。面子哪有梦想重要呢？找到目标的杜言行很快振作起来，一甲第二也是他的骄傲。
 逸事：

故事
备受瞩目的新晋榜样杜言行受邀到国子监传授科举经验，学子们闻他言，豁然开朗。末了，他郑重地鼓励道：「第二名没什么好丢人地，毕竟是榜眼啊！」学子们面面相觑：「 榜眼……丢人……？」「我要能中榜眼，我爹娘准把同福酒肆包下来大宴八方了。」「就是，就是。」旁听的陆深叹气道：「英才的烦恼，我等凡人是很难理解了。」徐祯卿却若有所思：「每个人烦恼的地方不一样罢了，比如我就很烦恼大家总是送书给我。」他举手提问：「请问杜兄，您是如何悟到榜眼不丢人的呢？」杜言行诚恳地答道：「愚弟连续败给好学兄，颇有不服，以为他不过仗着自己天资过人罢了。后来愚弟在琼林宴上与他辩论了一番经典，发现好学兄不仅刻苦努力，胸襟还十分宽广，他在意的不是什么三元及第，而是自己是否对社稷有用。我输得心服口服。」陆深叹气声更大了：「翰林院有我和徐光启已经够让沈大人头疼了，现在又新加了三元及第很简单得孟好学和榜眼不丢人的杜言行……」「这才有意思。」沈度不知什么时候也旁听了，「早就听闻今年的状元少年英才，榜眼虚怀若谷，果然名不虚传。」杜言行向沈度拱手行礼：「沈大人过誉了，晚辈这是知错能改。」沈度赞许地看着他：「知错能改，善莫大焉。以小杜地才能和胸襟，老夫相信你大有可为。」杜言行欲答话，却看见沈度笑着挥挥手：「你快跟小陆去接徐光启把，他肯定又迷路了。」杜言行跟着陆深和徐祯卿走远了，沈度从他们身上看到了文人地风骨、大明地未来。
","杜若琼枝心 言抒鸿鹄志 行行步榜样 谦谦德君子","侯级角色"
